match_id,date,stage,team1,team2,goals1,goals2,source,source_row,shootout,yellow1,yellow2,red1,red2,corners1,corners2,xg1,xg2,shots1,shots2,sot1,sot2,fouls1,fouls2
WC26_043,2026-06-23,GROUP STAGE,England,Ghana,0,0,TSDL,49.0,False,1,1,0,0,9,2,1.36,0.17,19,2,3,1,14,24
WC26_044,2026-06-23,GROUP STAGE,Jordan,Algeria,1,2,TSDL,47.0,False,1,1,0,0,1,10,0.63,1.89,8,17,4,8,11,6
WC26_045,2026-06-23,GROUP STAGE,Norway,Senegal,3,2,TSDL,46.0,False,0,0,0,0,5,4,2.2,1.72,13,16,7,4,13,5
WC26_046,2026-06-23,GROUP STAGE,Portugal,Uzbekistan,5,0,TSDL,48.0,False,1,1,0,0,3,2,2.61,0.24,17,7,9,2,14,15
WC26_047,2026-06-24,GROUP STAGE,Bosnia and Herzegovina,Qatar,3,1,TSDL,52.0,False,1,1,0,0,5,5,0.68,0.77,14,9,5,3,9,14
WC26_048,2026-06-24,GROUP STAGE,Colombia,Congo DR,1,0,TSDL,51.0,False,2,1,0,0,5,4,0.98,0.37,20,7,9,1,12,16
WC26_049,2026-06-24,GROUP STAGE,Morocco,Haiti,4,2,TSDL,54.0,False,0,3,0,0,9,1,3.76,0.67,22,9,11,2,10,18
WC26_050,2026-06-24,GROUP STAGE,Panama,Croatia,0,1,TSDL,50.0,False,1,1,0,0,7,2,0.55,1.65,8,6,1,2,19,12
WC26_051,2026-06-24,GROUP STAGE,Scotland,Brazil,0,3,TSDL,55.0,False,1,2,0,0,7,6,1.04,4.33,14,21,5,9,10,11
WC26_052,2026-06-24,GROUP STAGE,Switzerland,Canada,2,1,TSDL,53.0,False,1,2,0,0,2,7,1.11,1.66,6,13,4,7,19,13
WC26_053,2026-06-25,GROUP STAGE,Curaçao,Côte d'Ivoire,0,2,TSDL,58.0,False,2,1,0,0,4,6,0.5,1.31,11,7,2,3,11,6
WC26_054,2026-06-25,GROUP STAGE,Czechia,Mexico,0,3,TSDL,56.0,False,0,1,0,0,5,1,0.53,1.74,13,11,1,5,9,13
WC26_055,2026-06-25,GROUP STAGE,Ecuador,Germany,2,1,TSDL,59.0,False,3,1,0,0,3,2,1.27,0.65,7,11,3,3,15,10
WC26_056,2026-06-25,GROUP STAGE,South Africa,Korea Republic,1,0,TSDL,57.0,False,1,1,0,0,4,6,1.16,0.9,13,8,4,3,7,9
WC26_057,2026-06-26,GROUP STAGE,Japan,Sweden,1,1,TSDL,60.0,False,1,2,0,0,2,8,1.21,0.64,8,11,3,5,20,11
WC26_058,2026-06-26,GROUP STAGE,Norway,France,1,4,TSDL,64.0,False,1,1,0,0,4,5,1.7,1.5,10,18,4,9,9,11
WC26_059,2026-06-26,GROUP STAGE,Paraguay,Australia,0,0,TSDL,62.0,False,1,1,0,0,1,3,0.24,0.55,7,12,2,5,9,6
WC26_060,2026-06-26,GROUP STAGE,Senegal,Iraq,5,0,TSDL,65.0,False,2,2,0,1,12,3,3.01,1.04,28,6,12,1,10,11
WC26_061,2026-06-26,GROUP STAGE,Tunisia,Netherlands,1,3,TSDL,61.0,False,0,0,0,0,4,6,0.62,1.85,10,20,4,7,11,10
WC26_062,2026-06-26,GROUP STAGE,Türkiye,USA,3,2,TSDL,63.0,False,0,1,0,0,2,9,3.01,2.13,9,18,3,7,13,13
WC26_063,2026-06-27,GROUP STAGE,Cabo Verde,Saudi Arabia,0,0,TSDL,66.0,False,1,3,0,0,4,2,1.39,0.39,15,7,2,3,10,16
WC26_064,2026-06-27,GROUP STAGE,Croatia,Ghana,2,1,TSDL,70.0,False,1,1,0,0,3,2,0.42,0.74,8,6,4,1,9,13
WC26_065,2026-06-27,GROUP STAGE,Egypt,IR Iran,1,1,TSDL,68.0,False,3,4,0,0,8,2,0.84,1.97,15,13,3,4,11,16
WC26_066,2026-06-27,GROUP STAGE,New Zealand,Belgium,1,5,TSDL,69.0,False,2,0,0,0,5,8,0.25,3.69,6,35,2,10,10,7
WC26_067,2026-06-27,GROUP STAGE,Panama,England,0,2,TSDL,71.0,False,2,1,0,0,3,7,0.58,1.49,13,17,2,6,16,13
WC26_068,2026-06-27,GROUP STAGE,Uruguay,Spain,0,1,TSDL,67.0,False,3,1,1,0,1,6,0.2,0.86,5,6,1,1,14,14
WC26_069,2026-06-28,GROUP STAGE,Algeria,Austria,3,3,TSDL,74.0,False,0,1,0,0,0,3,1.67,1.49,12,10,5,3,3,7
WC26_070,2026-06-28,GROUP STAGE,Colombia,Portugal,0,0,TSDL,72.0,False,1,0,0,0,5,2,1.7,0.93,24,13,6,2,12,6
WC26_071,2026-06-28,GROUP STAGE,Congo DR,Uzbekistan,3,1,TSDL,73.0,False,3,2,0,0,2,4,2.18,0.2,19,3,4,1,6,16
WC26_072,2026-06-28,GROUP STAGE,Jordan,Argentina,1,3,TSDL,75.0,False,3,0,0,0,2,6,0.76,2.13,5,12,1,4,13,7
WC26_073,2026-06-28,ROUND OF 32,South Africa,Canada,0,1,TSDL,79.0,False,0,2,0,0,1,4,0.14,1.38,6,12,1,7,10,16
WC26_074,2026-06-29,ROUND OF 32,Brazil,Japan,2,1,TSDL,80.0,False,2,3,0,0,6,2,2.07,0.33,19,5,7,2,4,13
WC26_075,2026-06-29,ROUND OF 32,Germany,Paraguay,1,1,TSDL,81.0,True,2,2,0,0,16,6,1.57,0.35,21,7,6,3,18,12
WC26_076,2026-06-29,ROUND OF 32,Netherlands,Morocco,1,1,TSDL,82.0,True,0,1,0,0,5,8,0.24,1.38,6,11,2,5,18,15
WC26_077,2026-06-30,ROUND OF 32,Côte d'Ivoire,Norway,1,2,TSDL,83.0,False,0,1,0,0,14,3,1.49,1.9,14,9,5,4,6,7
WC26_078,2026-06-30,ROUND OF 32,France,Sweden,3,0,TSDL,84.0,False,0,0,0,0,9,1,3.24,0.7,25,8,12,3,14,10
WC26_079,2026-06-30,ROUND OF 32,Mexico,Ecuador,2,0,TSDL,85.0,False,0,3,0,1,3,8,1.05,0.75,15,7,3,1,10,14
WC26_080,2026-07-01,ROUND OF 32,Belgium,Senegal,3,2,TSDL,87.0,False,1,1,0,0,4,2,1.74,3.58,19,19,5,5,22,12
WC26_081,2026-07-01,ROUND OF 32,England,Congo DR,2,1,TSDL,86.0,False,1,1,0,0,5,3,2.16,0.77,16,7,7,2,10,12
WC26_082,2026-07-01,ROUND OF 32,USA,Bosnia and Herzegovina,2,0,TSDL,88.0,False,0,1,1,0,4,3,0.88,0.25,8,10,2,3,7,13
WC26_083,2026-07-02,ROUND OF 32,Portugal,Croatia,2,1,TSDL,90.0,False,1,2,0,0,9,5,2.2,1.34,15,13,3,6,6,12
WC26_084,2026-07-02,ROUND OF 32,Spain,Austria,3,0,TSDL,89.0,False,0,1,0,0,9,0,2.8,0.32,23,5,10,0,8,15
WC26_085,2026-07-02,ROUND OF 32,Switzerland,Algeria,2,0,TSDL,91.0,False,0,2,0,0,4,2,2.52,0.73,11,8,5,2,10,12
WC26_086,2026-07-03,ROUND OF 32,Argentina,Cabo Verde,3,2,TSDL,93.0,False,1,1,0,0,8,8,2.26,0.47,22,16,10,5,13,12
WC26_087,2026-07-03,ROUND OF 32,Australia,Egypt,1,1,TSDL,92.0,True,0,2,0,0,4,7,0.84,1.32,16,14,1,3,12,14
WC26_088,2026-07-03,ROUND OF 32,Colombia,Ghana,1,0,TSDL,94.0,False,2,3,0,0,3,2,2.04,0.27,20,8,8,0,14,10
WC26_089,2026-07-04,ROUND OF 16,Canada,Morocco,0,3,TSDL,98.0,False,4,4,0,0,11,1,0.84,0.82,10,5,3,4,24,14
WC26_090,2026-07-04,ROUND OF 16,Paraguay,France,0,1,TSDL,99.0,False,0,3,0,0,2,12,0.13,1.45,5,15,0,5,13,11
WC26_091,2026-07-05,ROUND OF 16,Brazil,Norway,1,2,TSDL,100.0,False,1,0,0,0,5,5,2.61,1.05,14,9,4,5,7,6
WC26_092,2026-07-05,ROUND OF 16,Mexico,England,2,3,TSDL,101.0,False,2,3,0,1,12,2,1.88,1.61,20,6,5,5,14,7
WC26_093,2026-07-06,ROUND OF 16,Portugal,Spain,0,1,TSDL,102.0,False,2,1,0,0,3,7,0.63,1.69,10,15,2,6,9,13
WC26_094,2026-07-06,ROUND OF 16,USA,Belgium,1,4,TSDL,103.0,False,2,0,0,0,3,5,0.63,2.01,7,15,2,7,11,9
WC26_095,2026-07-07,ROUND OF 16,Argentina,Egypt,3,2,TSDL,104.0,False,0,3,0,0,6,1,2.84,0.89,19,5,7,2,13,11
WC26_096,2026-07-07,ROUND OF 16,Switzerland,Colombia,0,0,TSDL,105.0,True,3,2,0,0,3,7,0.39,1.09,7,15,2,3,22,21
WC26_097,2026-07-09,QUARTER FINALS,France,Morocco,2,0,TSDL,109.0,False,0,1,0,0,5,5,3.69,0.14,22,5,8,1,10,13
WC26_098,2026-07-10,QUARTER FINALS,Spain,Belgium,2,1,TSDL,110.0,False,2,2,0,0,5,1,2.1,0.37,17,5,8,2,13,18
WC26_099,2026-07-11,QUARTER FINALS,Argentina,Switzerland,3,1,TSDL,112.0,False,3,2,0,1,8,2,1.94,0.47,22,11,7,5,14,18
WC26_100,2026-07-11,QUARTER FINALS,Norway,England,1,2,TSDL,111.0,False,1,0,0,0,7,4,0.68,1.04,13,14,4,8,10,8
WC26_101,2026-07-14,SEMI FINALS,France,Spain,0,2,TSDL,116.0,False,2,1,0,0,7,1,0.3,1.63,10,10,3,2,11,12
WC26_102,2026-07-15,SEMI FINALS,England,Argentina,1,2,TSDL,117.0,False,1,3,0,0,1,6,0.53,1.84,5,15,2,5,11,15
WC26_103,2026-07-18,BRONZE FINAL,France,England,4,6,FIFA,,False,0,0,0,0,3,4,,,19,19,9,11,14,8
WC26_104,2026-07-19,FINAL,Spain,Argentina,1,0,TSDL,121.0,False,0,5,0,1,9,4,2.29,0.22,20,2,12,0,21,25
