task,original_difference,leave_one_team_out_min,leave_one_team_out_max,all_directions_match
01_goals,0.8120833333333335,0.761622807017544,0.880043859649123,True
02_yellow_cards,-0.4027777777777777,-0.5164141414141414,-0.3345959595959598,True
03_shots,4.635416666666668,4.142061403508771,4.96923245614035,True
04_saves,-0.6733333333333325,-0.7870614035087717,-0.49232456140350855,True
