group,N,n,mean,sd,median,min,max,ci_low,ci_high,finite_ci_low,finite_ci_high,census_mean
Higher,24,20,2.8875,1.0101694172078208,3.0,1.3333333333333333,5.0,2.414726159821936,3.3602738401780643,2.69449088797127,3.0805091120287305,2.9305555555555554
Lower,24,20,3.5608333333333326,1.3992716881685063,3.583333333333333,1.4,7.0,2.9059540247749647,4.215712641891701,3.2934799751542223,3.828186691512443,3.5923611111111113
