match_id,date,stage,team1,team2,goals1,goals2,source,source_row,shootout,yellow1,yellow2,red1,red2,corners1,corners2,xg1,xg2,shots1,shots2,sot1,sot2,fouls1,fouls2,total_goals,total_shots,total_yellow,total_corners,min,max,rank_gap,split
WC26_033,2026-06-20,GROUP STAGE,Netherlands,Sweden,5,1,TSDL,36.0,False,0,3,0,0,2,5,2.61,1.01,10,16,7,8,9,12,6,26,3,7,8,38,30,train
WC26_034,2026-06-20,GROUP STAGE,Türkiye,Paraguay,0,1,TSDL,35.0,False,1,1,0,1,12,0,2.17,0.32,32,7,5,2,14,15,1,39,2,12,22,41,19,train
WC26_035,2026-06-21,GROUP STAGE,Belgium,IR Iran,0,0,TSDL,41.0,False,1,1,1,0,4,2,1.79,0.62,23,7,7,3,7,9,0,30,2,6,9,20,11,train
WC26_036,2026-06-21,GROUP STAGE,Ecuador,Curaçao,0,0,TSDL,38.0,False,1,5,0,0,9,0,2.84,0.5,27,10,15,3,7,10,0,37,6,9,23,82,59,train
WC26_037,2026-06-21,GROUP STAGE,Spain,Saudi Arabia,4,0,TSDL,40.0,False,0,2,0,0,6,1,2.3,0.14,22,3,8,1,10,2,4,25,2,7,2,61,59,test
WC26_038,2026-06-21,GROUP STAGE,Tunisia,Japan,0,4,TSDL,39.0,False,0,0,0,0,3,5,0.05,2.13,2,11,0,5,8,15,4,13,0,8,18,45,27,train
WC26_039,2026-06-21,GROUP STAGE,Uruguay,Cabo Verde,2,2,TSDL,42.0,False,2,2,0,0,11,4,2.32,0.88,17,12,2,4,11,4,4,29,4,15,16,67,51,train
WC26_040,2026-06-22,GROUP STAGE,Argentina,Austria,2,0,TSDL,44.0,False,2,2,0,0,1,3,2.36,0.53,12,6,5,1,13,13,2,18,4,4,1,24,23,test
WC26_041,2026-06-22,GROUP STAGE,France,Iraq,3,0,TSDL,45.0,False,0,1,0,0,4,2,2.67,0.63,19,4,5,0,8,4,3,23,1,6,3,57,54,train
WC26_042,2026-06-22,GROUP STAGE,New Zealand,Egypt,1,3,TSDL,43.0,False,2,1,0,0,4,3,1.24,1.87,11,19,5,7,14,8,4,30,3,7,29,85,56,test
WC26_043,2026-06-23,GROUP STAGE,England,Ghana,0,0,TSDL,49.0,False,1,1,0,0,9,2,1.36,0.17,19,2,3,1,14,24,0,21,2,11,4,73,69,train
WC26_044,2026-06-23,GROUP STAGE,Jordan,Algeria,1,2,TSDL,47.0,False,1,1,0,0,1,10,0.63,1.89,8,17,4,8,11,6,3,25,2,11,28,63,35,train
WC26_045,2026-06-23,GROUP STAGE,Norway,Senegal,3,2,TSDL,46.0,False,0,0,0,0,5,4,2.2,1.72,13,16,7,4,13,5,5,29,0,9,15,31,16,train
WC26_046,2026-06-23,GROUP STAGE,Portugal,Uzbekistan,5,0,TSDL,48.0,False,1,1,0,0,3,2,2.61,0.24,17,7,9,2,14,15,5,24,2,5,5,50,45,train
WC26_047,2026-06-24,GROUP STAGE,Bosnia and Herzegovina,Qatar,3,1,TSDL,52.0,False,1,1,0,0,5,5,0.68,0.77,14,9,5,3,9,14,4,23,2,10,56,64,8,train
WC26_048,2026-06-24,GROUP STAGE,Colombia,Congo DR,1,0,TSDL,51.0,False,2,1,0,0,5,4,0.98,0.37,20,7,9,1,12,16,1,27,3,9,13,46,33,train
WC26_049,2026-06-24,GROUP STAGE,Morocco,Haiti,4,2,TSDL,54.0,False,0,3,0,0,9,1,3.76,0.67,22,9,11,2,10,18,6,31,3,10,7,83,76,train
WC26_050,2026-06-24,GROUP STAGE,Panama,Croatia,0,1,TSDL,50.0,False,1,1,0,0,7,2,0.55,1.65,8,6,1,2,19,12,1,14,2,9,11,34,23,train
WC26_051,2026-06-24,GROUP STAGE,Scotland,Brazil,0,3,TSDL,55.0,False,1,2,0,0,7,6,1.04,4.33,14,21,5,9,10,11,3,35,3,13,6,42,36,train
WC26_052,2026-06-24,GROUP STAGE,Switzerland,Canada,2,1,TSDL,53.0,False,1,2,0,0,2,7,1.11,1.66,6,13,4,7,19,13,3,19,3,9,19,30,11,train
WC26_053,2026-06-25,GROUP STAGE,Curaçao,Côte d'Ivoire,0,2,TSDL,58.0,False,2,1,0,0,4,6,0.5,1.31,11,7,2,3,11,6,2,18,3,10,33,82,49,train
WC26_054,2026-06-25,GROUP STAGE,Czechia,Mexico,0,3,TSDL,56.0,False,0,1,0,0,5,1,0.53,1.74,13,11,1,5,9,13,3,24,1,6,14,40,26,train
WC26_055,2026-06-25,GROUP STAGE,Ecuador,Germany,2,1,TSDL,59.0,False,3,1,0,0,3,2,1.27,0.65,7,11,3,3,15,10,3,18,4,5,10,23,13,train
WC26_056,2026-06-25,GROUP STAGE,South Africa,Korea Republic,1,0,TSDL,57.0,False,1,1,0,0,4,6,1.16,0.9,13,8,4,3,7,9,1,21,2,10,25,60,35,train
WC26_057,2026-06-26,GROUP STAGE,Japan,Sweden,1,1,TSDL,60.0,False,1,2,0,0,2,8,1.21,0.64,8,11,3,5,20,11,2,19,3,10,18,38,20,train
