group,N,n,mean,sd,median,min,max,ci_low,ci_high,finite_ci_low,finite_ci_high,census_mean
Higher,24,20,14.292916666666667,3.9982189702679523,14.125,8.0,23.666666666666668,12.421692588559889,16.164140744773444,13.528992635704757,15.056840697628576,14.080208333333333
Lower,24,20,9.657499999999999,2.803232652509165,10.0,5.666666666666667,16.0,8.345546734079013,10.969453265920984,9.121897322019276,10.193102677980722,9.561805555555557
